P  Speedup  Parallel_efficiency

2 0.0925925925926 0.0462962962963
4 0.0574712643678 0.014367816092
6 0.0416666666667 0.00694444444444
8 0.0342465753425 0.00428082191781
10 0.0063051702396 0.00063051702396
12 0.00699300699301 0.000582750582751
14 0.00693481276006 0.000495343768575
16 0.00686813186813 0.000429258241758
18 0.00563697857948 0.000313165476638
20 0.0061804697157 0.000309023485785
22 0.00552486187845 0.000251130085384
24 0.00570125427594 0.000237552261498
26 0.00486854917235 0.000187251891244
28 0.00489236790607 0.000174727425217
30 0.00419463087248 0.000139821029083
32 0.00422654268808 0.000132079459003
