p  time  gflops

2 0.235047 0.042545
4 0.561673 0.008902
6 0.904817 0.003684
8 1.336042 0.001871
10 2.159778 0.000926
12 2.325622 0.000717
14 2.475298 0.000577
16 2.596810 0.000481
18 2.691717 0.000413
20 2.811337 0.000356
22 2.807038 0.000324
24 2.835849 0.000294
26 2.844498 0.000270
28 2.846891 0.000251
30 2.860450 0.000233
32 2.828396 0.000221
