p  time  gflops

2 0.235006 0.042552
4 0.560397 0.008922
6 0.905496 0.003681
8 1.333212 0.001875
10 2.160708 0.000926
12 2.356380 0.000707
14 2.476881 0.000577
16 2.614690 0.000478
18 2.673236 0.000416
20 2.762770 0.000362
22 2.802786 0.000324
24 2.811651 0.000296
26 2.833897 0.000271
28 2.846552 0.000251
30 2.838443 0.000235
32 2.851149 0.000219
