P  Speedup  Parallel_efficiency

2 0.108695652174 0.054347826087
4 0.0877192982456 0.0219298245614
8 0.0531914893617 0.00664893617021
16 0.0132625994695 0.000828912466844
32 0.00614250614251 0.000191953316953
