P  Speedup  Parallel_efficiency

2 0.0892857142857 0.0446428571429
4 0.0561797752809 0.0140449438202
6 0.0423728813559 0.00706214689266
8 0.0294117647059 0.00367647058824
10 0.00805152979066 0.000805152979066
12 0.00713266761769 0.000594388968141
14 0.00693481276006 0.000495343768575
16 0.00684931506849 0.000428082191781
18 0.00611246943765 0.000339581635425
20 0.00593119810202 0.000296559905101
22 0.00566893424036 0.000257678829107
24 0.00533617929562 0.000222340803984
26 0.00440917107584 0.000169583502917
28 0.0048309178744 0.000172532781228
30 0.004500450045 0.0001500150015
32 0.00427715996578 0.000133661248931
