p  time  gflops

2 0.000054 0.018496
4 0.000087 0.005769
6 0.000120 0.002785
8 0.000146 0.001734
10 0.000793 0.000256
12 0.000715 0.000232
14 0.000721 0.000197
16 0.000728 0.000170
18 0.000887 0.000126
20 0.000809 0.000124
22 0.000905 0.000099
24 0.000877 0.000098
26 0.001027 0.000074
28 0.001022 0.000068
30 0.001192 0.000059
32 0.001183 0.000052
