########################################################################
# Job 2719406.akb in Schlange parallel
# angeforderte Ressourcen: neednodes=node004:ppn=8+node003:ppn=8+node002:ppn=8+node001:ppn=8,nodes=4:ppn=8,walltime=00:05:00
########################################################################


job: n=1000 p=2
rank  time  gflops  scalar

21 0.000846 0.000130 1194551763868238741504.000000
12 0.000790 0.000116 1194551763868238741504.000000
10 0.000801 0.000114 1194551763868238741504.000000
19 0.000846 0.000106 1194551763868238741504.000000
0 0.000864 0.000109 1194551763868238741504.000000
8 0.000958 0.000097 1194551763868238741504.000000
14 0.000894 0.000102 1194551763868238741504.000000
18 0.000932 0.000098 1194551763868238741504.000000
20 0.000931 0.000099 1194551763868238741504.000000
16 0.000882 0.000107 1194551763868238741504.000000
2 0.000974 0.000093 1194551763868238741504.000000
7 0.000814 0.000111 1194551763868238741504.000000
5 0.000832 0.000108 1194551763868238741504.000000
9 0.000820 0.000110 1194551763868238741504.000000
11 0.000770 0.000117 1194551763868238741504.000000
6 0.000861 0.000106 1194551763868238741504.000000


job: n=1000 p=24
rank  time  gflops  scalar

0 0.000877 0.000098 1237271800954476036096.000000
1 0.000873 0.000094 1237271800954476036096.000000
5 0.000878 0.000093 1237271800954476036096.000000
7 0.000807 0.000102 1237271800954476036096.000000
23 0.000882 0.000129 1237271800954476036096.000000
11 0.000795 0.000103 1237271800954476036096.000000
9 0.000820 0.000100 1237271800954476036096.000000
15 0.000935 0.000088 1237271800954476036096.000000
21 0.000890 0.000092 1237271800954476036096.000000
20 0.000919 0.000091 1237271800954476036096.000000
16 0.000917 0.000094 1237271800954476036096.000000
18 0.000925 0.000090 1237271800954476036096.000000
22 0.001021 0.000081 1237271800954476036096.000000
8 0.000836 0.000102 1237271800954476036096.000000
10 0.000837 0.000099 1237271800954476036096.000000
12 0.000833 0.000101 1237271800954476036096.000000
14 0.000887 0.000094 1237271800954476036096.000000
13 0.000813 0.000101 1237271800954476036096.000000
17 0.000891 0.000092 1237271800954476036096.000000
19 0.000905 0.000091 1237271800954476036096.000000
2 0.000876 0.000095 1237271800954476036096.000000
3 0.000874 0.000094 1237271800954476036096.000000
4 0.000868 0.000097 1237271800954476036096.000000
6 0.000934 0.000089 1237271800954476036096.000000


job: n=1000 p=26
rank  time  gflops  scalar

5 0.001027 0.000074 1197813386334195941376.000000
3 0.001143 0.000066 1197813386334195941376.000000
1 0.001178 0.000065 1197813386334195941376.000000
2 0.001145 0.000067 1197813386334195941376.000000
4 0.001130 0.000069 1197813386334195941376.000000
6 0.001065 0.000072 1197813386334195941376.000000
0 0.001189 0.000067 1197813386334195941376.000000
25 0.001138 0.000088 1197813386334195941376.000000
24 0.001213 0.000065 1197813386334195941376.000000
7 0.001047 0.000073 1197813386334195941376.000000
16 0.001247 0.000064 1197813386334195941376.000000
17 0.001157 0.000066 1197813386334195941376.000000
18 0.001165 0.000066 1197813386334195941376.000000
10 0.001070 0.000072 1197813386334195941376.000000
11 0.001178 0.000065 1197813386334195941376.000000
19 0.001129 0.000067 1197813386334195941376.000000
12 0.001168 0.000067 1197813386334195941376.000000
20 0.001148 0.000068 1197813386334195941376.000000
13 0.001153 0.000066 1197813386334195941376.000000
22 0.001154 0.000067 1197813386334195941376.000000
14 0.001235 0.000062 1197813386334195941376.000000
23 0.001164 0.000065 1197813386334195941376.000000
15 0.001191 0.000064 1197813386334195941376.000000
8 0.001078 0.000073 1197813386334195941376.000000
21 0.001107 0.000069 1197813386334195941376.000000
9 0.001052 0.000072 1197813386334195941376.000000


job: n=1000 p=28
rank  time  gflops  scalar

3 0.001022 0.000068 1185027449230929166336.000000
7 0.000975 0.000072 1185027449230929166336.000000
5 0.000954 0.000073 1185027449230929166336.000000
1 0.001136 0.000062 1185027449230929166336.000000
0 0.001187 0.000062 1185027449230929166336.000000
2 0.001168 0.000061 1185027449230929166336.000000
25 0.001105 0.000063 1185027449230929166336.000000
27 0.001108 0.000099 1185027449230929166336.000000
26 0.001149 0.000062 1185027449230929166336.000000
24 0.001152 0.000063 1185027449230929166336.000000
16 0.001137 0.000065 1185027449230929166336.000000
9 0.001121 0.000062 1185027449230929166336.000000
17 0.001086 0.000064 1185027449230929166336.000000
18 0.001167 0.000061 1185027449230929166336.000000
10 0.001144 0.000062 1185027449230929166336.000000
19 0.001075 0.000065 1185027449230929166336.000000
11 0.001121 0.000062 1185027449230929166336.000000
20 0.001151 0.000063 1185027449230929166336.000000
21 0.001125 0.000062 1185027449230929166336.000000
15 0.001140 0.000061 1185027449230929166336.000000
22 0.001173 0.000061 1185027449230929166336.000000
12 0.001223 0.000059 1185027449230929166336.000000
13 0.001141 0.000061 1185027449230929166336.000000
23 0.001124 0.000062 1185027449230929166336.000000
14 0.001199 0.000059 1185027449230929166336.000000
8 0.001138 0.000064 1185027449230929166336.000000
6 0.001092 0.000065 1185027449230929166336.000000
4 0.001023 0.000070 1185027449230929166336.000000
1 0.001182 0.000056 1134360089823052562432.000000
5 0.001233 0.000054 1134360089823052562432.000000
7 0.001225 0.000054 1134360089823052562432.000000
3 0.001243 0.000053 1134360089823052562432.000000
2 0.001221 0.000055 1134360089823052562432.000000
29 0.001154 0.000075 1134360089823052562432.000000
23 0.001180 0.000056 1134360089823052562432.000000
20 0.001151 0.000059 1134360089823052562432.000000
21 0.001189 0.000056 1134360089823052562432.000000
27 0.001180 0.000056 1134360089823052562432.000000
6 0.001287 0.000052 1134360089823052562432.000000
18 0.001214 0.000055 1134360089823052562432.000000
