########################################################################
# Job 2719403.akb in Schlange parallel
# angeforderte Ressourcen: neednodes=node016:ppn=8+node015:ppn=8+node014:ppn=8+node013:ppn=8,nodes=4:ppn=8,walltime=00:05:00
########################################################################


job: n=1000 p=2
rank  time  gflops  scalar

21 0.000835 0.000158 1150461841730424668160.000000
17 0.000898 0.000125 1150461841730424668160.000000
19 0.000870 0.000129 1150461841730424668160.000000
16 0.000905 0.000124 1150461841730424668160.000000
7 0.001008 0.000111 1150461841730424668160.000000
18 0.000945 0.000119 1150461841730424668160.000000
6 0.000937 0.000120 1150461841730424668160.000000
0 0.000819 0.000137 1150461841730424668160.000000
9 0.001004 0.000112 1150461841730424668160.000000
11 0.000953 0.000117 1150461841730424668160.000000
12 0.000904 0.000124 1150461841730424668160.000000
13 0.000901 0.000124 1150461841730424668160.000000
14 0.000901 0.000124 1150461841730424668160.000000
15 0.000881 0.000127 1150461841730424668160.000000
8 0.001035 0.000108 1150461841730424668160.000000
10 0.000943 0.000119 1150461841730424668160.000000


job: n=1000 p=24
rank  time  gflops  scalar

0 0.000937 0.000113 1162673074285475266560.000000
1 0.000949 0.000112 1162673074285475266560.000000
2 0.000911 0.000116 1162673074285475266560.000000
3 0.000922 0.000115 1162673074285475266560.000000
5 0.000895 0.000118 1162673074285475266560.000000
6 0.000881 0.000120 1162673074285475266560.000000
7 0.000968 0.000110 1162673074285475266560.000000
4 0.000932 0.000114 1162673074285475266560.000000
15 0.000885 0.000120 1162673074285475266560.000000
23 0.000931 0.000148 1162673074285475266560.000000
14 0.000914 0.000116 1162673074285475266560.000000
9 0.000965 0.000110 1162673074285475266560.000000
21 0.000897 0.000118 1162673074285475266560.000000
10 0.000918 0.000115 1162673074285475266560.000000
11 0.000966 0.000110 1162673074285475266560.000000
19 0.000897 0.000118 1162673074285475266560.000000
20 0.000903 0.000117 1162673074285475266560.000000
13 0.000956 0.000111 1162673074285475266560.000000
16 0.000935 0.000113 1162673074285475266560.000000
22 0.000893 0.000119 1162673074285475266560.000000
18 0.000918 0.000115 1162673074285475266560.000000
12 0.000940 0.000113 1162673074285475266560.000000
17 0.000898 0.000118 1162673074285475266560.000000
8 0.000998 0.000106 1162673074285475266560.000000


job: n=1000 p=26
rank  time  gflops  scalar

3 0.001201 0.000085 1122768480671590514688.000000
6 0.001134 0.000090 1122768480671590514688.000000
9 0.001109 0.000092 1122768480671590514688.000000
15 0.001087 0.000094 1122768480671590514688.000000
13 0.001110 0.000092 1122768480671590514688.000000
0 0.001227 0.000083 1122768480671590514688.000000
1 0.001238 0.000082 1122768480671590514688.000000
10 0.001186 0.000086 1122768480671590514688.000000
25 0.001175 0.000107 1122768480671590514688.000000
12 0.001279 0.000080 1122768480671590514688.000000
24 0.001226 0.000083 1122768480671590514688.000000
2 0.001380 0.000074 1122768480671590514688.000000
5 0.001116 0.000091 1122768480671590514688.000000
11 0.001187 0.000086 1122768480671590514688.000000
17 0.001043 0.000098 1122768480671590514688.000000
18 0.001090 0.000094 1122768480671590514688.000000
14 0.001088 0.000094 1122768480671590514688.000000
19 0.001199 0.000085 1122768480671590514688.000000
20 0.001218 0.000084 1122768480671590514688.000000
8 0.001185 0.000086 1122768480671590514688.000000
21 0.001163 0.000088 1122768480671590514688.000000
22 0.001235 0.000083 1122768480671590514688.000000
23 0.001218 0.000084 1122768480671590514688.000000
16 0.001104 0.000092 1122768480671590514688.000000
4 0.001215 0.000084 1122768480671590514688.000000
7 0.001105 0.000092 1122768480671590514688.000000


job: n=1000 p=28
rank  time  gflops  scalar

3 0.000949 0.000103 1124101376988828925952.000000
7 0.000926 0.000106 1124101376988828925952.000000
1 0.001043 0.000094 1124101376988828925952.000000
5 0.000970 0.000101 1124101376988828925952.000000
13 0.001035 0.000095 1124101376988828925952.000000
11 0.001041 0.000094 1124101376988828925952.000000
12 0.001057 0.000093 1124101376988828925952.000000
17 0.001024 0.000096 1124101376988828925952.000000
9 0.000959 0.000102 1124101376988828925952.000000
21 0.001020 0.000096 1124101376988828925952.000000
27 0.001019 0.000135 1124101376988828925952.000000
22 0.001123 0.000087 1124101376988828925952.000000
25 0.001036 0.000095 1124101376988828925952.000000
16 0.001060 0.000092 1124101376988828925952.000000
20 0.001067 0.000092 1124101376988828925952.000000
8 0.001064 0.000092 1124101376988828925952.000000
10 0.001221 0.000080 1124101376988828925952.000000
26 0.001204 0.000081 1124101376988828925952.000000
24 0.001196 0.000082 1124101376988828925952.000000
2 0.001317 0.000074 1124101376988828925952.000000
18 0.001360 0.000072 1124101376988828925952.000000
6 0.000970 0.000101 1124101376988828925952.000000
23 0.001083 0.000090 1124101376988828925952.000000
0 0.001043 0.000094 1124101376988828925952.000000
