P  Speedup  Parallel_efficiency

2 0.292001264925 0.146000632463
4 0.289351862842 0.0723379657106
8 0.294081029957 0.0367601287446
16 0.0773495318515 0.00483434574072
32 0.0563773376849 0.00176179180265
